{'loss': 0.27006417512893677, 'total-trian_loss': 0.27006417512893677, 'total-train-accuracy': 0.875, 'bla-recall': 0.8333333134651184, 'lyt-recall': 0.875, 'ngb-recall': 0.6666666865348816, 'ngs-recall': 1.0, 'bla-precision': 0.8333333134651184, 'lyt-precision': 0.875, 'ngb-precision': 1.0, 'ngs-precision': 0.8571428656578064} 
{'loss': 0.2709236145019531, 'total-trian_loss': 0.2709236145019531, 'total-train-accuracy': 0.8958333134651184, 'bla-recall': 0.8823529481887817, 'lyt-recall': 0.9508196711540222, 'ngb-recall': 0.6071428656578064, 'ngs-recall': 0.9710144996643066, 'bla-precision': 0.9090909361839294, 'lyt-precision': 0.920634925365448, 'ngb-precision': 0.9444444179534912, 'ngs-precision': 0.8589743375778198} 
{'loss': 0.2253173440694809, 'total-trian_loss': 0.2253173440694809, 'total-train-accuracy': 0.9034090638160706, 'bla-recall': 0.8730158805847168, 'lyt-recall': 0.9519230723381042, 'ngb-recall': 0.6382978558540344, 'ngs-recall': 0.9637681245803833, 'bla-precision': 0.9166666865348816, 'lyt-precision': 0.9339622855186462, 'ngb-precision': 0.8823529481887817, 'ngs-precision': 0.8866666555404663} 
{'loss': 0.20265896618366241, 'total-trian_loss': 0.20265896618366241, 'total-train-accuracy': 0.91796875, 'bla-recall': 0.8977272510528564, 'lyt-recall': 0.9487179517745972, 'ngb-recall': 0.6865671873092651, 'ngs-recall': 0.9701492786407471, 'bla-precision': 0.9186046719551086, 'lyt-precision': 0.9487179517745972, 'ngb-precision': 0.9019607901573181, 'ngs-precision': 0.9027777910232544} 
{'loss': 0.21371996402740479, 'total-trian_loss': 0.21371996402740479, 'total-train-accuracy': 0.9122023582458496, 'bla-recall': 0.8990825414657593, 'lyt-recall': 0.942307710647583, 'ngb-recall': 0.6741573214530945, 'ngs-recall': 0.9586465954780579, 'bla-precision': 0.9074074029922485, 'lyt-precision': 0.9560975432395935, 'ngb-precision': 0.8695651888847351, 'ngs-precision': 0.8978873491287231} 
{'loss': 0.2218858152627945, 'total-trian_loss': 0.2218858152627945, 'total-train-accuracy': 0.911057710647583, 'bla-recall': 0.8913043737411499, 'lyt-recall': 0.94140625, 'ngb-recall': 0.7053571343421936, 'ngs-recall': 0.953987717628479, 'bla-precision': 0.9111111164093018, 'lyt-precision': 0.9488189220428467, 'ngb-precision': 0.8586956262588501, 'ngs-precision': 0.9014492630958557} 
{'loss': 0.2189233899116516, 'total-trian_loss': 0.2189233899116516, 'total-train-accuracy': 0.9112903475761414, 'bla-recall': 0.895061731338501, 'lyt-recall': 0.9369085431098938, 'ngb-recall': 0.7304964661598206, 'ngs-recall': 0.9543010592460632, 'bla-precision': 0.895061731338501, 'lyt-precision': 0.9519230723381042, 'ngb-precision': 0.8728813529014587, 'ngs-precision': 0.9010152220726013} 
{'loss': 0.2197883576154709, 'total-trian_loss': 0.2197883576154709, 'total-train-accuracy': 0.9088541865348816, 'bla-recall': 0.8961748480796814, 'lyt-recall': 0.9411764740943909, 'ngb-recall': 0.7437499761581421, 'ngs-recall': 0.9379310607910156, 'bla-precision': 0.901098906993866, 'lyt-precision': 0.9487870335578918, 'ngb-precision': 0.8321678042411804, 'ngs-precision': 0.9066666960716248} 
{'loss': 0.2223876416683197, 'total-trian_loss': 0.2223876416683197, 'total-train-accuracy': 0.9115853905677795, 'bla-recall': 0.8904109597206116, 'lyt-recall': 0.9478672742843628, 'ngb-recall': 0.7650273442268372, 'ngs-recall': 0.936475396156311, 'bla-precision': 0.9112149477005005, 'lyt-precision': 0.9433962106704712, 'ngb-precision': 0.8383233547210693, 'ngs-precision': 0.9121756553649902} 
{'loss': 0.21746116876602173, 'total-trian_loss': 0.21746116876602173, 'total-train-accuracy': 0.913722813129425, 'bla-recall': 0.8893442749977112, 'lyt-recall': 0.9498956203460693, 'ngb-recall': 0.7783251404762268, 'ngs-recall': 0.9358974099159241, 'bla-precision': 0.9156118035316467, 'lyt-precision': 0.9439833760261536, 'ngb-precision': 0.8359788656234741, 'ngs-precision': 0.9157705903053284} 
{'loss': 0.2175043374300003, 'total-trian_loss': 0.2175043374300003, 'total-train-accuracy': 0.9148284196853638, 'bla-recall': 0.8884758353233337, 'lyt-recall': 0.9493433237075806, 'ngb-recall': 0.7929515242576599, 'ngs-recall': 0.9353233575820923, 'bla-precision': 0.9087452292442322, 'lyt-precision': 0.9440298676490784, 'ngb-precision': 0.84112149477005, 'ngs-precision': 0.9215686321258545} 
{'loss': 0.21145989000797272, 'total-trian_loss': 0.21145989000797272, 'total-train-accuracy': 0.91796875, 'bla-recall': 0.8986486196517944, 'lyt-recall': 0.9484536051750183, 'ngb-recall': 0.8032128810882568, 'ngs-recall': 0.9368420839309692, 'bla-precision': 0.9078498482704163, 'lyt-precision': 0.9468267560005188, 'ngb-precision': 0.8438818454742432, 'ngs-precision': 0.9270833134651184} 
{'loss': 0.22184495627880096, 'total-trian_loss': 0.22184495627880096, 'total-train-accuracy': 0.9164959192276001, 'bla-recall': 0.8912386894226074, 'lyt-recall': 0.9474497437477112, 'ngb-recall': 0.7931034564971924, 'ngs-recall': 0.939691424369812, 'bla-precision': 0.9049080014228821, 'lyt-precision': 0.9430769085884094, 'ngb-precision': 0.844897985458374, 'ngs-precision': 0.9254143834114075} 
