{'loss': 0.13013513386249542, 'total-trian_loss': 0.13013513386249542, 'total-train-accuracy': 0.9375, 'bla-recall': 1.0, 'lyt-recall': 1.0, 'ngb-recall': 0.5, 'ngs-recall': 1.0, 'bla-precision': 1.0, 'lyt-precision': 1.0, 'ngb-precision': 1.0, 'ngs-precision': 0.8888888955116272} 
{'loss': 0.18828468024730682, 'total-trian_loss': 0.18828468024730682, 'total-train-accuracy': 0.9322916865348816, 'bla-recall': 0.8857142925262451, 'lyt-recall': 0.9523809552192688, 'ngb-recall': 0.7407407164573669, 'ngs-recall': 0.9701492786407471, 'bla-precision': 0.9117646813392639, 'lyt-precision': 0.9523809552192688, 'ngb-precision': 0.9090909361839294, 'ngs-precision': 0.9285714030265808} 
{'loss': 0.23223374783992767, 'total-trian_loss': 0.23223374783992767, 'total-train-accuracy': 0.9090909361839294, 'bla-recall': 0.8840579986572266, 'lyt-recall': 0.9322034120559692, 'ngb-recall': 0.6585366129875183, 'ngs-recall': 0.9354838728904724, 'bla-precision': 0.8970588445663452, 'lyt-precision': 0.9482758641242981, 'ngb-precision': 0.7941176295280457, 'ngs-precision': 0.913385808467865} 
{'loss': 0.2678298354148865, 'total-trian_loss': 0.2678298354148865, 'total-train-accuracy': 0.904296875, 'bla-recall': 0.8901098966598511, 'lyt-recall': 0.931034505367279, 'ngb-recall': 0.6666666865348816, 'ngs-recall': 0.9382022619247437, 'bla-precision': 0.8804348111152649, 'lyt-precision': 0.9473684430122375, 'ngb-precision': 0.8679245114326477, 'ngs-precision': 0.8882978558540344} 
{'loss': 0.2611779570579529, 'total-trian_loss': 0.2611779570579529, 'total-train-accuracy': 0.9047619104385376, 'bla-recall': 0.8660714030265808, 'lyt-recall': 0.9469026327133179, 'ngb-recall': 0.695652186870575, 'ngs-recall': 0.9297520518302917, 'bla-precision': 0.8981481194496155, 'lyt-precision': 0.9469026327133179, 'ngb-precision': 0.8533333539962769, 'ngs-precision': 0.8964143395423889} 
{'loss': 0.26167452335357666, 'total-trian_loss': 0.26167452335357666, 'total-train-accuracy': 0.9026442170143127, 'bla-recall': 0.8652482032775879, 'lyt-recall': 0.9508771896362305, 'ngb-recall': 0.678260862827301, 'ngs-recall': 0.9243986010551453, 'bla-precision': 0.9104477763175964, 'lyt-precision': 0.9542253613471985, 'ngb-precision': 0.8297872543334961, 'ngs-precision': 0.8848684430122375} 
{'loss': 0.25906169414520264, 'total-trian_loss': 0.25906169414520264, 'total-train-accuracy': 0.9002016186714172, 'bla-recall': 0.8698225021362305, 'lyt-recall': 0.9441176652908325, 'ngb-recall': 0.6764705777168274, 'ngs-recall': 0.9250720739364624, 'bla-precision': 0.9074074029922485, 'lyt-precision': 0.9497041702270508, 'ngb-precision': 0.8288288116455078, 'ngs-precision': 0.8818681240081787} 
{'loss': 0.261986643075943, 'total-trian_loss': 0.261986643075943, 'total-train-accuracy': 0.8940972089767456, 'bla-recall': 0.8652849793434143, 'lyt-recall': 0.9437339901924133, 'ngb-recall': 0.6962025165557861, 'ngs-recall': 0.9048780202865601, 'bla-precision': 0.907608687877655, 'lyt-precision': 0.9437339901924133, 'ngb-precision': 0.7801418304443359, 'ngs-precision': 0.88968825340271} 
{'loss': 0.2615033686161041, 'total-trian_loss': 0.2615033686161041, 'total-train-accuracy': 0.8955792784690857, 'bla-recall': 0.861751139163971, 'lyt-recall': 0.943566620349884, 'ngb-recall': 0.7062146663665771, 'ngs-recall': 0.9073684215545654, 'bla-precision': 0.9077669978141785, 'lyt-precision': 0.9393258690834045, 'ngb-precision': 0.78125, 'ngs-precision': 0.8997912406921387} 
{'loss': 0.25914740562438965, 'total-trian_loss': 0.25914740562438965, 'total-train-accuracy': 0.895380437374115, 'bla-recall': 0.8666666746139526, 'lyt-recall': 0.9456740617752075, 'ngb-recall': 0.6752577424049377, 'ngs-recall': 0.9112753868103027, 'bla-precision': 0.9122806787490845, 'lyt-precision': 0.9418837428092957, 'ngb-precision': 0.7751479148864746, 'ngs-precision': 0.8947368264198303} 
{'loss': 0.2699021100997925, 'total-trian_loss': 0.2699021100997925, 'total-train-accuracy': 0.8921568393707275, 'bla-recall': 0.8625954389572144, 'lyt-recall': 0.9431192874908447, 'ngb-recall': 0.651583731174469, 'ngs-recall': 0.9188741445541382, 'bla-precision': 0.9076305031776428, 'lyt-precision': 0.9396709203720093, 'ngb-precision': 0.7868852615356445, 'ngs-precision': 0.8851674795150757} 
