{'loss': 1.7247364521026611, 'total-trian_loss': 1.7247364521026611, 'total-train-accuracy': 0.1875, 'bla-recall': 0.0, 'lyt-recall': 0.0, 'ngb-recall': 0.125, 'ngs-recall': 0.0, 'bla-precision': 0.0, 'lyt-precision': 0.0, 'ngb-precision': 0.125, 'ngs-precision': 0.0} 
{'loss': 1.480123519897461, 'total-trian_loss': 1.480123519897461, 'total-train-accuracy': 0.4010416567325592, 'bla-recall': 0.0, 'lyt-recall': 0.31343284249305725, 'ngb-recall': 0.032258063554763794, 'ngs-recall': 0.2266666740179062, 'bla-precision': 0.0, 'lyt-precision': 0.4883720874786377, 'ngb-precision': 0.125, 'ngs-precision': 0.53125} 
{'loss': 1.418826699256897, 'total-trian_loss': 1.418826699256897, 'total-train-accuracy': 0.3806818127632141, 'bla-recall': 0.0, 'lyt-recall': 0.24031007289886475, 'ngb-recall': 0.020408162847161293, 'ngs-recall': 0.2265625, 'bla-precision': 0.0, 'lyt-precision': 0.484375, 'ngb-precision': 0.125, 'ngs-precision': 0.4833333194255829} 
{'loss': 1.3736238479614258, 'total-trian_loss': 1.3736238479614258, 'total-train-accuracy': 0.38671875, 'bla-recall': 0.0, 'lyt-recall': 0.24858756363391876, 'ngb-recall': 0.013698630034923553, 'ngs-recall': 0.20108695328235626, 'bla-precision': 0.0, 'lyt-precision': 0.5365853905677795, 'ngb-precision': 0.125, 'ngs-precision': 0.4868420958518982} 
{'loss': 1.3218952417373657, 'total-trian_loss': 1.3218952417373657, 'total-train-accuracy': 0.4107142984867096, 'bla-recall': 0.0, 'lyt-recall': 0.26431718468666077, 'ngb-recall': 0.009803921915590763, 'ngs-recall': 0.21250000596046448, 'bla-precision': 0.0, 'lyt-precision': 0.5714285969734192, 'ngb-precision': 0.125, 'ngs-precision': 0.53125} 
{'loss': 1.2707462310791016, 'total-trian_loss': 1.2707462310791016, 'total-train-accuracy': 0.43629807233810425, 'bla-recall': 0.02255639061331749, 'lyt-recall': 0.29032257199287415, 'ngb-recall': 0.008196720853447914, 'ngs-recall': 0.2751677930355072, 'bla-precision': 0.4285714328289032, 'lyt-precision': 0.6136363744735718, 'ngb-precision': 0.125, 'ngs-precision': 0.5734265446662903} 
{'loss': 1.2427752017974854, 'total-trian_loss': 1.2427752017974854, 'total-train-accuracy': 0.4546371102333069, 'bla-recall': 0.0535714291036129, 'lyt-recall': 0.31610941886901855, 'ngb-recall': 0.006756756920367479, 'ngs-recall': 0.3141210377216339, 'bla-precision': 0.6428571343421936, 'lyt-precision': 0.6190476417541504, 'ngb-precision': 0.125, 'ngs-precision': 0.5956284403800964} 
{'loss': 1.2048606872558594, 'total-trian_loss': 1.2048606872558594, 'total-train-accuracy': 0.4748263955116272, 'bla-recall': 0.09090909361839294, 'lyt-recall': 0.33942559361457825, 'ngb-recall': 0.005780346691608429, 'ngs-recall': 0.3667481541633606, 'bla-precision': 0.739130437374115, 'lyt-precision': 0.6341463327407837, 'ngb-precision': 0.125, 'ngs-precision': 0.6302521228790283} 
{'loss': 1.1734347343444824, 'total-trian_loss': 1.1734347343444824, 'total-train-accuracy': 0.49618902802467346, 'bla-recall': 0.12980769574642181, 'lyt-recall': 0.3735763132572174, 'ngb-recall': 0.005181347019970417, 'ngs-recall': 0.4067796468734741, 'bla-precision': 0.7714285850524902, 'lyt-precision': 0.656000018119812, 'ngb-precision': 0.125, 'ngs-precision': 0.6399999856948853} 
{'loss': 1.1437917947769165, 'total-trian_loss': 1.1437917947769165, 'total-train-accuracy': 0.514266312122345, 'bla-recall': 0.14529915153980255, 'lyt-recall': 0.40361446142196655, 'ngb-recall': 0.004739336669445038, 'ngs-recall': 0.4385633170604706, 'bla-precision': 0.739130437374115, 'lyt-precision': 0.6700000166893005, 'ngb-precision': 0.125, 'ngs-precision': 0.6609686613082886} 
{'loss': 1.1213284730911255, 'total-trian_loss': 1.1213284730911255, 'total-train-accuracy': 0.5257353186607361, 'bla-recall': 0.1760299652814865, 'lyt-recall': 0.42170819640159607, 'ngb-recall': 0.004291845485568047, 'ngs-recall': 0.4649122953414917, 'bla-precision': 0.7460317611694336, 'lyt-precision': 0.6713880896568298, 'ngb-precision': 0.125, 'ngs-precision': 0.6812339425086975} 
{'loss': 1.1010053157806396, 'total-trian_loss': 1.1010053157806396, 'total-train-accuracy': 0.53515625, 'bla-recall': 0.21724137663841248, 'lyt-recall': 0.42009884119033813, 'ngb-recall': 0.0038910505827516317, 'ngs-recall': 0.4858934283256531, 'bla-precision': 0.7241379022598267, 'lyt-precision': 0.6746031641960144, 'ngb-precision': 0.125, 'ngs-precision': 0.6997742652893066} 
{'loss': 1.079252004623413, 'total-trian_loss': 1.079252004623413, 'total-train-accuracy': 0.5512295365333557, 'bla-recall': 0.2405063360929489, 'lyt-recall': 0.43957704305648804, 'ngb-recall': 0.003636363660916686, 'ngs-recall': 0.5092989802360535, 'bla-precision': 0.7450980544090271, 'lyt-precision': 0.6879432797431946, 'ngb-precision': 0.125, 'ngs-precision': 0.7007874250411987} 
{'loss': 1.064059853553772, 'total-trian_loss': 1.064059853553772, 'total-train-accuracy': 0.5615530014038086, 'bla-recall': 0.2565597593784332, 'lyt-recall': 0.45968881249427795, 'ngb-recall': 0.0033444815780967474, 'ngs-recall': 0.5268676280975342, 'bla-precision': 0.7719298005104065, 'lyt-precision': 0.6900212168693542, 'ngb-precision': 0.125, 'ngs-precision': 0.7040280103683472} 
