{'loss': 0.4223017394542694, 'total-trian_loss': 0.4223017394542694, 'total-train-accuracy': 0.8486841917037964, 'bla-recall': 0.8117048144340515, 'lyt-recall': 0.8840398788452148, 'ngb-recall': 0.39115646481513977, 'ngs-recall': 0.9172852635383606, 'bla-precision': 0.8787878751754761, 'lyt-precision': 0.8963337540626526, 'ngb-precision': 0.7278481125831604, 'ngs-precision': 0.858134925365448} 
{'loss': 0.42026984691619873, 'total-trian_loss': 0.42026984691619873, 'total-train-accuracy': 0.8491512537002563, 'bla-recall': 0.8141176700592041, 'lyt-recall': 0.8815943598747253, 'ngb-recall': 0.39743590354919434, 'ngs-recall': 0.9131736755371094, 'bla-precision': 0.8804070949554443, 'lyt-precision': 0.89737468957901, 'ngb-precision': 0.7209302186965942, 'ngs-precision': 0.8583489656448364} 
{'loss': 0.4141443371772766, 'total-trian_loss': 0.4141443371772766, 'total-train-accuracy': 0.8517441749572754, 'bla-recall': 0.8114035129547119, 'lyt-recall': 0.8841871023178101, 'ngb-recall': 0.40785497426986694, 'ngs-recall': 0.9137769341468811, 'bla-precision': 0.8809523582458496, 'lyt-precision': 0.8992072343826294, 'ngb-precision': 0.7297297120094299, 'ngs-precision': 0.8620689511299133} 
{'loss': 0.4171120226383209, 'total-trian_loss': 0.4171120226383209, 'total-train-accuracy': 0.8513049483299255, 'bla-recall': 0.8032786846160889, 'lyt-recall': 0.8871307969093323, 'ngb-recall': 0.40857142210006714, 'ngs-recall': 0.912966251373291, 'bla-precision': 0.8848758339881897, 'lyt-precision': 0.8994652628898621, 'ngb-precision': 0.7258883118629456, 'ngs-precision': 0.8609715104103088} 
{'loss': 0.4160221815109253, 'total-trian_loss': 0.4160221815109253, 'total-train-accuracy': 0.8492838740348816, 'bla-recall': 0.80078125, 'lyt-recall': 0.8882235288619995, 'ngb-recall': 0.3962264060974121, 'ngs-recall': 0.9140690565109253, 'bla-precision': 0.8817204236984253, 'lyt-precision': 0.8980827331542969, 'ngb-precision': 0.7277227640151978, 'ngs-precision': 0.8611111044883728} 
{'loss': 0.4156762957572937, 'total-trian_loss': 0.4156762957572937, 'total-train-accuracy': 0.8487005233764648, 'bla-recall': 0.8003766536712646, 'lyt-recall': 0.8870813250541687, 'ngb-recall': 0.3918575048446655, 'ngs-recall': 0.9160728454589844, 'bla-precision': 0.872689962387085, 'lyt-precision': 0.8973862528800964, 'ngb-precision': 0.7333333492279053, 'ngs-precision': 0.8653702139854431} 
{'loss': 0.41740188002586365, 'total-trian_loss': 0.41740188002586365, 'total-train-accuracy': 0.8475825190544128, 'bla-recall': 0.7960643768310547, 'lyt-recall': 0.8893925547599792, 'ngb-recall': 0.3874092102050781, 'ngs-recall': 0.9172361493110657, 'bla-precision': 0.875984251499176, 'lyt-precision': 0.8967093229293823, 'ngb-precision': 0.7305936217308044, 'ngs-precision': 0.8610121011734009} 
{'loss': 0.4236934781074524, 'total-trian_loss': 0.4236934781074524, 'total-train-accuracy': 0.8476914167404175, 'bla-recall': 0.796928346157074, 'lyt-recall': 0.8874570727348328, 'ngb-recall': 0.3986175060272217, 'ngs-recall': 0.9166666865348816, 'bla-precision': 0.872897207736969, 'lyt-precision': 0.8982608914375305, 'ngb-precision': 0.7330508232116699, 'ngs-precision': 0.8606725931167603} 
{'loss': 0.42256614565849304, 'total-trian_loss': 0.42256614565849304, 'total-train-accuracy': 0.8467133641242981, 'bla-recall': 0.796721339225769, 'lyt-recall': 0.8913580179214478, 'ngb-recall': 0.4008714556694031, 'ngs-recall': 0.913165271282196, 'bla-precision': 0.8756756782531738, 'lyt-precision': 0.8980099558830261, 'ngb-precision': 0.71875, 'ngs-precision': 0.8590250611305237} 
{'loss': 0.4231099486351013, 'total-trian_loss': 0.4231099486351013, 'total-train-accuracy': 0.8471074104309082, 'bla-recall': 0.7930489778518677, 'lyt-recall': 0.8928290009498596, 'ngb-recall': 0.41237112879753113, 'ngs-recall': 0.9111111164093018, 'bla-precision': 0.8776223659515381, 'lyt-precision': 0.8977813124656677, 'ngb-precision': 0.7272727489471436, 'ngs-precision': 0.8590475916862488} 
