{'loss': 0.14432917535305023, 'total-trian_loss': 0.14432917535305023, 'total-train-accuracy': 0.96875, 'bla-recall': 0.8571428656578064, 'lyt-recall': 1.0, 'ngb-recall': 1.0, 'ngs-recall': 1.0, 'bla-precision': 1.0, 'lyt-precision': 0.9285714030265808, 'ngb-precision': 1.0, 'ngs-precision': 1.0} 
{'loss': 0.14824140071868896, 'total-trian_loss': 0.14824140071868896, 'total-train-accuracy': 0.9427083134651184, 'bla-recall': 0.8947368264198303, 'lyt-recall': 0.9714285731315613, 'ngb-recall': 0.75, 'ngs-recall': 0.970588207244873, 'bla-precision': 0.9714285731315613, 'lyt-precision': 0.9444444179534912, 'ngb-precision': 0.9230769276618958, 'ngs-precision': 0.9428571462631226} 
{'loss': 0.17366193234920502, 'total-trian_loss': 0.17366193234920502, 'total-train-accuracy': 0.9431818127632141, 'bla-recall': 0.9142857193946838, 'lyt-recall': 0.9661017060279846, 'ngb-recall': 0.7777777910232544, 'ngs-recall': 0.96875, 'bla-precision': 0.9552238583564758, 'lyt-precision': 0.949999988079071, 'ngb-precision': 0.9032257795333862, 'ngs-precision': 0.9465649127960205} 
{'loss': 0.17826277017593384, 'total-trian_loss': 0.17826277017593384, 'total-train-accuracy': 0.94140625, 'bla-recall': 0.9247311949729919, 'lyt-recall': 0.9585798978805542, 'ngb-recall': 0.7777777910232544, 'ngs-recall': 0.9693877696990967, 'bla-precision': 0.9247311949729919, 'lyt-precision': 0.9585798978805542, 'ngb-precision': 0.8936170339584351, 'ngs-precision': 0.949999988079071} 
{'loss': 0.21227191388607025, 'total-trian_loss': 0.21227191388607025, 'total-train-accuracy': 0.9345238208770752, 'bla-recall': 0.9145299196243286, 'lyt-recall': 0.9466666579246521, 'ngb-recall': 0.7848101258277893, 'ngs-recall': 0.9641434550285339, 'bla-precision': 0.9145299196243286, 'lyt-precision': 0.9594594836235046, 'ngb-precision': 0.8985507488250732, 'ngs-precision': 0.9416342377662659} 
{'loss': 0.20342546701431274, 'total-trian_loss': 0.20342546701431274, 'total-train-accuracy': 0.9350961446762085, 'bla-recall': 0.9236111044883728, 'lyt-recall': 0.9530686140060425, 'ngb-recall': 0.7755101919174194, 'ngs-recall': 0.9616613388061523, 'bla-precision': 0.9236111044883728, 'lyt-precision': 0.9599999785423279, 'ngb-precision': 0.8941176533699036, 'ngs-precision': 0.940625011920929} 
{'loss': 0.2023490071296692, 'total-trian_loss': 0.2023490071296692, 'total-train-accuracy': 0.9375, 'bla-recall': 0.9112426042556763, 'lyt-recall': 0.9569230675697327, 'ngb-recall': 0.7815126180648804, 'ngs-recall': 0.9656991958618164, 'bla-precision': 0.9333333373069763, 'lyt-precision': 0.9510703086853027, 'ngb-precision': 0.9029126167297363, 'ngs-precision': 0.9457364082336426} 
{'loss': 0.1934913992881775, 'total-trian_loss': 0.1934913992881775, 'total-train-accuracy': 0.9392361044883728, 'bla-recall': 0.9191918969154358, 'lyt-recall': 0.9598930478096008, 'ngb-recall': 0.7857142686843872, 'ngs-recall': 0.9659090638160706, 'bla-precision': 0.938144326210022, 'lyt-precision': 0.9547872543334961, 'ngb-precision': 0.9090909361839294, 'ngs-precision': 0.9465478658676147} 
{'loss': 0.1893167644739151, 'total-trian_loss': 0.1893167644739151, 'total-train-accuracy': 0.9390243887901306, 'bla-recall': 0.920187771320343, 'lyt-recall': 0.9621749520301819, 'ngb-recall': 0.7857142686843872, 'ngs-recall': 0.9665354490280151, 'bla-precision': 0.9377990365028381, 'lyt-precision': 0.9576470851898193, 'ngb-precision': 0.9103448390960693, 'ngs-precision': 0.9442307949066162} 
{'loss': 0.19250908493995667, 'total-trian_loss': 0.19250908493995667, 'total-train-accuracy': 0.9368206262588501, 'bla-recall': 0.9237288236618042, 'lyt-recall': 0.9578947424888611, 'ngb-recall': 0.7857142686843872, 'ngs-recall': 0.9646017551422119, 'bla-precision': 0.9276595711708069, 'lyt-precision': 0.9599156379699707, 'ngb-precision': 0.9112426042556763, 'ngs-precision': 0.9412780404090881} 
{'loss': 0.20005851984024048, 'total-trian_loss': 0.20005851984024048, 'total-train-accuracy': 0.936887264251709, 'bla-recall': 0.927756667137146, 'lyt-recall': 0.9541984796524048, 'ngb-recall': 0.7954545617103577, 'ngs-recall': 0.9616000056266785, 'bla-precision': 0.9207547307014465, 'lyt-precision': 0.963391125202179, 'ngb-precision': 0.9067357778549194, 'ngs-precision': 0.9420062899589539} 
