{'loss': 0.2791954278945923, 'total-trian_loss': 0.2791954278945923, 'total-train-accuracy': 0.9375, 'bla-recall': 0.75, 'lyt-recall': 1.0, 'ngb-recall': 1.0, 'ngs-recall': 1.0, 'bla-precision': 1.0, 'lyt-precision': 0.8181818127632141, 'ngb-precision': 1.0, 'ngs-precision': 1.0} 
{'loss': 0.2953653633594513, 'total-trian_loss': 0.2953653633594513, 'total-train-accuracy': 0.9010416865348816, 'bla-recall': 0.8157894611358643, 'lyt-recall': 0.9666666388511658, 'ngb-recall': 0.75, 'ngs-recall': 0.9428571462631226, 'bla-precision': 0.939393937587738, 'lyt-precision': 0.90625, 'ngb-precision': 0.782608687877655, 'ngs-precision': 0.9166666865348816} 
{'loss': 0.26665952801704407, 'total-trian_loss': 0.26665952801704407, 'total-train-accuracy': 0.9034090638160706, 'bla-recall': 0.837837815284729, 'lyt-recall': 0.9636363387107849, 'ngb-recall': 0.707317054271698, 'ngs-recall': 0.9370078444480896, 'bla-precision': 0.939393937587738, 'lyt-precision': 0.9059829115867615, 'ngb-precision': 0.8055555820465088, 'ngs-precision': 0.9224806427955627} 
{'loss': 0.30863672494888306, 'total-trian_loss': 0.30863672494888306, 'total-train-accuracy': 0.8828125, 'bla-recall': 0.8584905862808228, 'lyt-recall': 0.9268292784690857, 'ngb-recall': 0.6166666746139526, 'ngs-recall': 0.9175823926925659, 'bla-precision': 0.9100000262260437, 'lyt-precision': 0.9212121367454529, 'ngb-precision': 0.7400000095367432, 'ngs-precision': 0.893048107624054} 
{'loss': 0.314948707818985, 'total-trian_loss': 0.314948707818985, 'total-train-accuracy': 0.8779761791229248, 'bla-recall': 0.8536585569381714, 'lyt-recall': 0.9159291982650757, 'ngb-recall': 0.6219512224197388, 'ngs-recall': 0.9170124530792236, 'bla-precision': 0.8677685856819153, 'lyt-precision': 0.9200000166893005, 'ngb-precision': 0.7846153974533081, 'ngs-precision': 0.8911290168762207} 
{'loss': 0.3263632357120514, 'total-trian_loss': 0.3263632357120514, 'total-train-accuracy': 0.8774038553237915, 'bla-recall': 0.8645161390304565, 'lyt-recall': 0.9222614765167236, 'ngb-recall': 0.6262626051902771, 'ngs-recall': 0.9050847291946411, 'bla-precision': 0.8815789222717285, 'lyt-precision': 0.9222614765167236, 'ngb-precision': 0.7560975551605225, 'ngs-precision': 0.8929765820503235} 
{'loss': 0.3255351781845093, 'total-trian_loss': 0.3255351781845093, 'total-train-accuracy': 0.8790322542190552, 'bla-recall': 0.8461538553237915, 'lyt-recall': 0.9253731369972229, 'ngb-recall': 0.6440678238868713, 'ngs-recall': 0.8963585495948792, 'bla-precision': 0.8799999952316284, 'lyt-precision': 0.9171597361564636, 'ngb-precision': 0.7450980544090271, 'ngs-precision': 0.903954803943634} 
{'loss': 0.33223140239715576, 'total-trian_loss': 0.33223140239715576, 'total-train-accuracy': 0.8776041865348816, 'bla-recall': 0.8457943797111511, 'lyt-recall': 0.9278350472450256, 'ngb-recall': 0.625, 'ngs-recall': 0.8985507488250732, 'bla-precision': 0.8829268217086792, 'lyt-precision': 0.918367326259613, 'ngb-precision': 0.739130437374115, 'ngs-precision': 0.8985507488250732} 
{'loss': 0.33240291476249695, 'total-trian_loss': 0.33240291476249695, 'total-train-accuracy': 0.8757622241973877, 'bla-recall': 0.8458333611488342, 'lyt-recall': 0.927570104598999, 'ngb-recall': 0.601307213306427, 'ngs-recall': 0.904276967048645, 'bla-precision': 0.8864628672599792, 'lyt-precision': 0.9126436710357666, 'ngb-precision': 0.7301587462425232, 'ngs-precision': 0.898785412311554} 
{'loss': 0.33310675621032715, 'total-trian_loss': 0.33310675621032715, 'total-train-accuracy': 0.8743206262588501, 'bla-recall': 0.8467432856559753, 'lyt-recall': 0.9126819372177124, 'ngb-recall': 0.5813953280448914, 'ngs-recall': 0.9157705903053284, 'bla-precision': 0.8769841194152832, 'lyt-precision': 0.9145833253860474, 'ngb-precision': 0.7407407164573669, 'ngs-precision': 0.8949211835861206} 
{'loss': 0.3323758840560913, 'total-trian_loss': 0.3323758840560913, 'total-train-accuracy': 0.873161792755127, 'bla-recall': 0.851590096950531, 'lyt-recall': 0.9118198752403259, 'ngb-recall': 0.557894766330719, 'ngs-recall': 0.9185303449630737, 'bla-precision': 0.8795620203018188, 'lyt-precision': 0.9204545617103577, 'ngb-precision': 0.7260273694992065, 'ngs-precision': 0.8873456716537476} 
