{'loss': 0.2792145013809204, 'total-trian_loss': 0.2792145013809204, 'total-train-accuracy': 0.9375, 'bla-recall': 1.0, 'lyt-recall': 0.9090909361839294, 'ngb-recall': 0.5, 'ngs-recall': 0.9375, 'bla-precision': 1.0, 'lyt-precision': 1.0, 'ngb-precision': 0.5, 'ngs-precision': 1.0} 
{'loss': 0.42028698325157166, 'total-trian_loss': 0.42028698325157166, 'total-train-accuracy': 0.8645833134651184, 'bla-recall': 0.8846153616905212, 'lyt-recall': 0.90625, 'ngb-recall': 0.47999998927116394, 'ngs-recall': 0.9220778942108154, 'bla-precision': 0.8518518805503845, 'lyt-precision': 0.9354838728904724, 'ngb-precision': 0.7058823704719543, 'ngs-precision': 0.8658536672592163} 
{'loss': 0.39816492795944214, 'total-trian_loss': 0.39816492795944214, 'total-train-accuracy': 0.8835227489471436, 'bla-recall': 0.807692289352417, 'lyt-recall': 0.9262295365333557, 'ngb-recall': 0.4871794879436493, 'ngs-recall': 0.935251772403717, 'bla-precision': 0.8936170339584351, 'lyt-precision': 0.9262295365333557, 'ngb-precision': 0.6785714030265808, 'ngs-precision': 0.8904109597206116} 
{'loss': 0.415944904088974, 'total-trian_loss': 0.415944904088974, 'total-train-accuracy': 0.880859375, 'bla-recall': 0.7804877758026123, 'lyt-recall': 0.9186046719551086, 'ngb-recall': 0.5438596606254578, 'ngs-recall': 0.9353233575820923, 'bla-precision': 0.8888888955116272, 'lyt-precision': 0.9080459475517273, 'ngb-precision': 0.7209302186965942, 'ngs-precision': 0.8952381014823914} 
{'loss': 0.4087435007095337, 'total-trian_loss': 0.4087435007095337, 'total-train-accuracy': 0.8720238208770752, 'bla-recall': 0.8214285969734192, 'lyt-recall': 0.920187771320343, 'ngb-recall': 0.5479452013969421, 'ngs-recall': 0.8978102207183838, 'bla-precision': 0.893203854560852, 'lyt-precision': 0.9116278886795044, 'ngb-precision': 0.6451612710952759, 'ngs-precision': 0.901098906993866} 
{'loss': 0.43012768030166626, 'total-trian_loss': 0.43012768030166626, 'total-train-accuracy': 0.8665865659713745, 'bla-recall': 0.8345323801040649, 'lyt-recall': 0.9025270938873291, 'ngb-recall': 0.521276593208313, 'ngs-recall': 0.9037266969680786, 'bla-precision': 0.8529411554336548, 'lyt-precision': 0.9259259104728699, 'ngb-precision': 0.6712328791618347, 'ngs-precision': 0.8818181753158569} 
{'loss': 0.41297203302383423, 'total-trian_loss': 0.41297203302383423, 'total-train-accuracy': 0.8669354915618896, 'bla-recall': 0.8353658318519592, 'lyt-recall': 0.9020771384239197, 'ngb-recall': 0.5044247508049011, 'ngs-recall': 0.9179894328117371, 'bla-precision': 0.850931704044342, 'lyt-precision': 0.9268292784690857, 'ngb-precision': 0.7037037014961243, 'ngs-precision': 0.8740554451942444} 
{'loss': 0.3964186906814575, 'total-trian_loss': 0.3964186906814575, 'total-train-accuracy': 0.8706597089767456, 'bla-recall': 0.8341968655586243, 'lyt-recall': 0.9086294174194336, 'ngb-recall': 0.4921875, 'ngs-recall': 0.929061770439148, 'bla-precision': 0.8655914068222046, 'lyt-precision': 0.9250646233558655, 'ngb-precision': 0.7159090638160706, 'ngs-precision': 0.875} 
{'loss': 0.39828649163246155, 'total-trian_loss': 0.39828649163246155, 'total-train-accuracy': 0.8673780560493469, 'bla-recall': 0.835616409778595, 'lyt-recall': 0.9133333563804626, 'ngb-recall': 0.47096773982048035, 'ngs-recall': 0.9282786846160889, 'bla-precision': 0.8672986030578613, 'lyt-precision': 0.9256756901741028, 'ngb-precision': 0.7300000190734863, 'ngs-precision': 0.864503800868988} 
{'loss': 0.3909805417060852, 'total-trian_loss': 0.3909805417060852, 'total-train-accuracy': 0.8709239363670349, 'bla-recall': 0.8429751992225647, 'lyt-recall': 0.9188118577003479, 'ngb-recall': 0.4911242723464966, 'ngs-recall': 0.9136690497398376, 'bla-precision': 0.8755365014076233, 'lyt-precision': 0.9336016178131104, 'ngb-precision': 0.7094017267227173, 'ngs-precision': 0.8728522062301636} 
{'loss': 0.3880341053009033, 'total-trian_loss': 0.3880341053009033, 'total-train-accuracy': 0.8713235259056091, 'bla-recall': 0.8333333134651184, 'lyt-recall': 0.9211909174919128, 'ngb-recall': 0.47252747416496277, 'ngs-recall': 0.9146141409873962, 'bla-precision': 0.8858267664909363, 'lyt-precision': 0.932624101638794, 'ngb-precision': 0.71074378490448, 'ngs-precision': 0.8730407357215881} 
{'loss': 0.389204204082489, 'total-trian_loss': 0.389204204082489, 'total-train-accuracy': 0.8716517686843872, 'bla-recall': 0.8282828330993652, 'lyt-recall': 0.9225806593894958, 'ngb-recall': 0.4726368188858032, 'ngs-recall': 0.9124628901481628, 'bla-precision': 0.8848921060562134, 'lyt-precision': 0.9285714030265808, 'ngb-precision': 0.7196969985961914, 'ngs-precision': 0.874822199344635} 
{'loss': 0.3866419196128845, 'total-trian_loss': 0.3866419196128845, 'total-train-accuracy': 0.8719262480735779, 'bla-recall': 0.8301886916160583, 'lyt-recall': 0.9209370613098145, 'ngb-recall': 0.4583333432674408, 'ngs-recall': 0.91700679063797, 'bla-precision': 0.8799999952316284, 'lyt-precision': 0.9304733872413635, 'ngb-precision': 0.717391312122345, 'ngs-precision': 0.8730570077896118} 
{'loss': 0.37681031227111816, 'total-trian_loss': 0.37681031227111816, 'total-train-accuracy': 0.8759469985961914, 'bla-recall': 0.8392857313156128, 'lyt-recall': 0.922764241695404, 'ngb-recall': 0.4680851101875305, 'ngs-recall': 0.9202988743782043, 'bla-precision': 0.8757764101028442, 'lyt-precision': 0.9354395866394043, 'ngb-precision': 0.7333333492279053, 'ngs-precision': 0.8755924105644226} 
{'loss': 0.3782069683074951, 'total-trian_loss': 0.3782069683074951, 'total-train-accuracy': 0.8732394576072693, 'bla-recall': 0.8296703100204468, 'lyt-recall': 0.9238578677177429, 'ngb-recall': 0.44841268658638, 'ngs-recall': 0.9239631295204163, 'bla-precision': 0.8779069781303406, 'lyt-precision': 0.9273885488510132, 'ngb-precision': 0.7337662577629089, 'ngs-precision': 0.874591052532196} 
{'loss': 0.3739696443080902, 'total-trian_loss': 0.3739696443080902, 'total-train-accuracy': 0.8754112124443054, 'bla-recall': 0.8255208134651184, 'lyt-recall': 0.9270588159561157, 'ngb-recall': 0.4635036587715149, 'ngs-recall': 0.927489161491394, 'bla-precision': 0.8781163692474365, 'lyt-precision': 0.9270588159561157, 'ngb-precision': 0.7559523582458496, 'ngs-precision': 0.8753830194473267} 
{'loss': 0.3732656240463257, 'total-trian_loss': 0.3732656240463257, 'total-train-accuracy': 0.8726851940155029, 'bla-recall': 0.8212560415267944, 'lyt-recall': 0.9268292784690857, 'ngb-recall': 0.47278910875320435, 'ngs-recall': 0.9226069450378418, 'bla-precision': 0.8785529732704163, 'lyt-precision': 0.9258028864860535, 'ngb-precision': 0.7473118305206299, 'ngs-precision': 0.8745173811912537} 
{'loss': 0.3763481080532074, 'total-trian_loss': 0.3763481080532074, 'total-train-accuracy': 0.8699128031730652, 'bla-recall': 0.8181818127632141, 'lyt-recall': 0.92476487159729, 'ngb-recall': 0.47648903727531433, 'ngs-recall': 0.92277991771698, 'bla-precision': 0.8780487775802612, 'lyt-precision': 0.921875, 'ngb-precision': 0.7562189102172852, 'ngs-precision': 0.871467649936676} 
