{'loss': 0.07786281406879425, 'total-trian_loss': 0.07786281406879425, 'total-train-accuracy': 1.0, 'bla-recall': 1.0, 'lyt-recall': 1.0, 'ngb-recall': 1.0, 'ngs-recall': 1.0, 'bla-precision': 1.0, 'lyt-precision': 1.0, 'ngb-precision': 1.0, 'ngs-precision': 1.0} 
{'loss': 0.15936200320720673, 'total-trian_loss': 0.15936200320720673, 'total-train-accuracy': 0.953125, 'bla-recall': 0.939393937587738, 'lyt-recall': 1.0, 'ngb-recall': 0.9545454382896423, 'ngs-recall': 0.9268292784690857, 'bla-precision': 1.0, 'lyt-precision': 0.9482758641242981, 'ngb-precision': 0.807692289352417, 'ngs-precision': 0.9870129823684692} 
{'loss': 0.14385680854320526, 'total-trian_loss': 0.14385680854320526, 'total-train-accuracy': 0.9545454382896423, 'bla-recall': 0.9180327653884888, 'lyt-recall': 0.9821428656578064, 'ngb-recall': 0.9117646813392639, 'ngs-recall': 0.951724112033844, 'bla-precision': 0.9655172228813171, 'lyt-precision': 0.95652174949646, 'ngb-precision': 0.837837815284729, 'ngs-precision': 0.978723406791687} 
{'loss': 0.19072936475276947, 'total-trian_loss': 0.19072936475276947, 'total-train-accuracy': 0.9453125, 'bla-recall': 0.9080459475517273, 'lyt-recall': 0.981249988079071, 'ngb-recall': 0.8518518805503845, 'ngs-recall': 0.9526066184043884, 'bla-precision': 0.9634146094322205, 'lyt-precision': 0.9345238208770752, 'ngb-precision': 0.8679245114326477, 'ngs-precision': 0.9663461446762085} 
{'loss': 0.16976840794086456, 'total-trian_loss': 0.16976840794086456, 'total-train-accuracy': 0.9523809552192688, 'bla-recall': 0.9298245906829834, 'lyt-recall': 0.9769585132598877, 'ngb-recall': 0.8571428656578064, 'ngs-recall': 0.9568345546722412, 'bla-precision': 0.954954981803894, 'lyt-precision': 0.9506726264953613, 'ngb-precision': 0.8571428656578064, 'ngs-precision': 0.9743589758872986} 
{'loss': 0.16048356890678406, 'total-trian_loss': 0.16048356890678406, 'total-train-accuracy': 0.953125, 'bla-recall': 0.9398496150970459, 'lyt-recall': 0.9711191058158875, 'ngb-recall': 0.8536585569381714, 'ngs-recall': 0.9588235020637512, 'bla-precision': 0.9469696879386902, 'lyt-precision': 0.9607142806053162, 'ngb-precision': 0.8641975522041321, 'ngs-precision': 0.9731343388557434} 
{'loss': 0.15190047025680542, 'total-trian_loss': 0.15190047025680542, 'total-train-accuracy': 0.9556451439857483, 'bla-recall': 0.9337349534034729, 'lyt-recall': 0.9766082167625427, 'ngb-recall': 0.84375, 'ngs-recall': 0.9639175534248352, 'bla-precision': 0.9567901492118835, 'lyt-precision': 0.959770143032074, 'ngb-precision': 0.8804348111152649, 'ngs-precision': 0.9714285731315613} 
{'loss': 0.14302487671375275, 'total-trian_loss': 0.14302487671375275, 'total-train-accuracy': 0.9574652910232544, 'bla-recall': 0.9424083828926086, 'lyt-recall': 0.9797979593276978, 'ngb-recall': 0.8363636136054993, 'ngs-recall': 0.9648351669311523, 'bla-precision': 0.9625668525695801, 'lyt-precision': 0.96277916431427, 'ngb-precision': 0.8846153616905212, 'ngs-precision': 0.9690949320793152} 
{'loss': 0.1546725481748581, 'total-trian_loss': 0.1546725481748581, 'total-train-accuracy': 0.9565548896789551, 'bla-recall': 0.9478672742843628, 'lyt-recall': 0.9801324605941772, 'ngb-recall': 0.8188976645469666, 'ngs-recall': 0.9654510617256165, 'bla-precision': 0.9523809552192688, 'lyt-precision': 0.9673202633857727, 'ngb-precision': 0.8813559412956238, 'ngs-precision': 0.9673076868057251} 
{'loss': 0.14973700046539307, 'total-trian_loss': 0.14973700046539307, 'total-train-accuracy': 0.9585598111152649, 'bla-recall': 0.9462810158729553, 'lyt-recall': 0.9819639325141907, 'ngb-recall': 0.8466257452964783, 'ngs-recall': 0.966549277305603, 'bla-precision': 0.9581589698791504, 'lyt-precision': 0.9683794379234314, 'ngb-precision': 0.9019607901573181, 'ngs-precision': 0.9682539701461792} 
{'loss': 0.14662069082260132, 'total-trian_loss': 0.14662069082260132, 'total-train-accuracy': 0.9577205777168274, 'bla-recall': 0.942307710647583, 'lyt-recall': 0.9818511605262756, 'ngb-recall': 0.8609625697135925, 'ngs-recall': 0.9637224078178406, 'bla-precision': 0.95703125, 'lyt-precision': 0.9677996635437012, 'ngb-precision': 0.894444465637207, 'ngs-precision': 0.9698412418365479} 
