{'loss': 0.4294324517250061, 'total-trian_loss': 0.4294324517250061, 'total-train-accuracy': 0.8125, 'bla-recall': 1.0, 'lyt-recall': 1.0, 'ngb-recall': 0.4285714328289032, 'ngs-recall': 0.8333333134651184, 'bla-precision': 1.0, 'lyt-precision': 1.0, 'ngb-precision': 0.6000000238418579, 'ngs-precision': 0.7692307829856873} 
{'loss': 0.2998066544532776, 'total-trian_loss': 0.2998066544532776, 'total-train-accuracy': 0.9010416865348816, 'bla-recall': 0.9655172228813171, 'lyt-recall': 0.9285714030265808, 'ngb-recall': 0.6428571343421936, 'ngs-recall': 0.9230769276618958, 'bla-precision': 0.875, 'lyt-precision': 0.9701492786407471, 'ngb-precision': 0.75, 'ngs-precision': 0.9090909361839294} 
{'loss': 0.2866366505622864, 'total-trian_loss': 0.2866366505622864, 'total-train-accuracy': 0.9034090638160706, 'bla-recall': 0.918367326259613, 'lyt-recall': 0.9527559280395508, 'ngb-recall': 0.6078431606292725, 'ngs-recall': 0.9520000219345093, 'bla-precision': 0.8999999761581421, 'lyt-precision': 0.9527559280395508, 'ngb-precision': 0.8157894611358643, 'ngs-precision': 0.888059675693512} 
{'loss': 0.27209997177124023, 'total-trian_loss': 0.27209997177124023, 'total-train-accuracy': 0.908203125, 'bla-recall': 0.9210526347160339, 'lyt-recall': 0.9438202381134033, 'ngb-recall': 0.6883116960525513, 'ngs-recall': 0.950276255607605, 'bla-precision': 0.8974359035491943, 'lyt-precision': 0.9545454382896423, 'ngb-precision': 0.841269850730896, 'ngs-precision': 0.8958333134651184} 
{'loss': 0.2692212462425232, 'total-trian_loss': 0.2692212462425232, 'total-train-accuracy': 0.90625, 'bla-recall': 0.9339622855186462, 'lyt-recall': 0.9344978332519531, 'ngb-recall': 0.6813187003135681, 'ngs-recall': 0.9430894255638123, 'bla-precision': 0.9082568883895874, 'lyt-precision': 0.9596412777900696, 'ngb-precision': 0.7848101258277893, 'ngs-precision': 0.90625} 
{'loss': 0.2857259511947632, 'total-trian_loss': 0.2857259511947632, 'total-train-accuracy': 0.8990384340286255, 'bla-recall': 0.9160305261611938, 'lyt-recall': 0.9318996667861938, 'ngb-recall': 0.680672287940979, 'ngs-recall': 0.9405940771102905, 'bla-precision': 0.89552241563797, 'lyt-precision': 0.9523809552192688, 'ngb-precision': 0.7941176295280457, 'ngs-precision': 0.9018987417221069} 
{'loss': 0.3004186451435089, 'total-trian_loss': 0.3004186451435089, 'total-train-accuracy': 0.9012096524238586, 'bla-recall': 0.9044585824012756, 'lyt-recall': 0.932721734046936, 'ngb-recall': 0.6619718074798584, 'ngs-recall': 0.9480874538421631, 'bla-precision': 0.893081784248352, 'lyt-precision': 0.9472049474716187, 'ngb-precision': 0.8103448152542114, 'ngs-precision': 0.9036458134651184} 
{'loss': 0.298304945230484, 'total-trian_loss': 0.298304945230484, 'total-train-accuracy': 0.8984375, 'bla-recall': 0.889502763748169, 'lyt-recall': 0.9352331757545471, 'ngb-recall': 0.6626505851745605, 'ngs-recall': 0.9474940299987793, 'bla-precision': 0.894444465637207, 'lyt-precision': 0.945026159286499, 'ngb-precision': 0.8208954930305481, 'ngs-precision': 0.8961625099182129} 
{'loss': 0.30191537737846375, 'total-trian_loss': 0.30191537737846375, 'total-train-accuracy': 0.8955792784690857, 'bla-recall': 0.8647342920303345, 'lyt-recall': 0.9319728016853333, 'ngb-recall': 0.6684492230415344, 'ngs-recall': 0.945492684841156, 'bla-precision': 0.8949999809265137, 'lyt-precision': 0.9383561611175537, 'ngb-precision': 0.8169934749603271, 'ngs-precision': 0.8948412537574768} 
{'loss': 0.29895949363708496, 'total-trian_loss': 0.29895949363708496, 'total-train-accuracy': 0.8974184989929199, 'bla-recall': 0.8787878751754761, 'lyt-recall': 0.9373737573623657, 'ngb-recall': 0.6829268336296082, 'ngs-recall': 0.9316081404685974, 'bla-precision': 0.8982300758361816, 'lyt-precision': 0.9430894255638123, 'ngb-precision': 0.800000011920929, 'ngs-precision': 0.8999999761581421} 
{'loss': 0.2906157076358795, 'total-trian_loss': 0.2906157076358795, 'total-train-accuracy': 0.8995097875595093, 'bla-recall': 0.8769230842590332, 'lyt-recall': 0.9395604133605957, 'ngb-recall': 0.6858407258987427, 'ngs-recall': 0.9350000023841858, 'bla-precision': 0.9047619104385376, 'lyt-precision': 0.9412844181060791, 'ngb-precision': 0.8072916865348816, 'ngs-precision': 0.9004815220832825} 
