{'loss': 0.21219056844711304, 'total-trian_loss': 0.21219056844711304, 'total-train-accuracy': 0.90625, 'bla-recall': 0.8181818127632141, 'lyt-recall': 1.0, 'ngb-recall': 1.0, 'ngs-recall': 0.875, 'bla-precision': 1.0, 'lyt-precision': 0.8181818127632141, 'ngb-precision': 0.800000011920929, 'ngs-precision': 1.0} 
{'loss': 0.1900544911623001, 'total-trian_loss': 0.1900544911623001, 'total-train-accuracy': 0.921875, 'bla-recall': 0.8387096524238586, 'lyt-recall': 0.9482758641242981, 'ngb-recall': 0.8333333134651184, 'ngs-recall': 0.949367105960846, 'bla-precision': 0.9285714030265808, 'lyt-precision': 0.9322034120559692, 'ngb-precision': 0.8333333134651184, 'ngs-precision': 0.949367105960846} 
{'loss': 0.18604664504528046, 'total-trian_loss': 0.18604664504528046, 'total-train-accuracy': 0.9261363744735718, 'bla-recall': 0.8636363744735718, 'lyt-recall': 0.9663865566253662, 'ngb-recall': 0.8085106611251831, 'ngs-recall': 0.9366196990013123, 'bla-precision': 0.9268292784690857, 'lyt-precision': 0.9583333134651184, 'ngb-precision': 0.8260869383811951, 'ngs-precision': 0.9432623982429504} 
{'loss': 0.18220964074134827, 'total-trian_loss': 0.18220964074134827, 'total-train-accuracy': 0.927734375, 'bla-recall': 0.8615384697914124, 'lyt-recall': 0.9709302186965942, 'ngb-recall': 0.7761194109916687, 'ngs-recall': 0.942307710647583, 'bla-precision': 0.9333333373069763, 'lyt-precision': 0.954285740852356, 'ngb-precision': 0.8387096524238586, 'ngs-precision': 0.9377990365028381} 
{'loss': 0.1848803162574768, 'total-trian_loss': 0.1848803162574768, 'total-train-accuracy': 0.9315476417541504, 'bla-recall': 0.8709677457809448, 'lyt-recall': 0.9649122953414917, 'ngb-recall': 0.8023256063461304, 'ngs-recall': 0.9509434103965759, 'bla-precision': 0.9204545617103577, 'lyt-precision': 0.9523809552192688, 'ngb-precision': 0.862500011920929, 'ngs-precision': 0.9438202381134033} 
{'loss': 0.19707608222961426, 'total-trian_loss': 0.19707608222961426, 'total-train-accuracy': 0.9254807829856873, 'bla-recall': 0.8813559412956238, 'lyt-recall': 0.9607142806053162, 'ngb-recall': 0.7809523940086365, 'ngs-recall': 0.9452887773513794, 'bla-precision': 0.9122806787490845, 'lyt-precision': 0.9539006948471069, 'ngb-precision': 0.8367347121238708, 'ngs-precision': 0.9367470145225525} 
{'loss': 0.20327122509479523, 'total-trian_loss': 0.20327122509479523, 'total-train-accuracy': 0.9254032373428345, 'bla-recall': 0.8776978254318237, 'lyt-recall': 0.9578313231468201, 'ngb-recall': 0.8031495809555054, 'ngs-recall': 0.9441624283790588, 'bla-precision': 0.9037036895751953, 'lyt-precision': 0.9520958065986633, 'ngb-precision': 0.8360655903816223, 'ngs-precision': 0.9417721629142761} 
{'loss': 0.20048019289970398, 'total-trian_loss': 0.20048019289970398, 'total-train-accuracy': 0.9279513955116272, 'bla-recall': 0.89570552110672, 'lyt-recall': 0.9541984796524048, 'ngb-recall': 0.8041958212852478, 'ngs-recall': 0.9470198750495911, 'bla-precision': 0.9012345671653748, 'lyt-precision': 0.9590792655944824, 'ngb-precision': 0.8333333134651184, 'ngs-precision': 0.9428571462631226} 
{'loss': 0.19912368059158325, 'total-trian_loss': 0.19912368059158325, 'total-train-accuracy': 0.9291158318519592, 'bla-recall': 0.8989361524581909, 'lyt-recall': 0.9551569223403931, 'ngb-recall': 0.8083832263946533, 'ngs-recall': 0.9471624493598938, 'bla-precision': 0.9086021780967712, 'lyt-precision': 0.9616252779960632, 'ngb-precision': 0.8385093212127686, 'ngs-precision': 0.939805805683136} 
{'loss': 0.2048364281654358, 'total-trian_loss': 0.2048364281654358, 'total-train-accuracy': 0.9320651888847351, 'bla-recall': 0.9014084339141846, 'lyt-recall': 0.9547244310379028, 'ngb-recall': 0.8166666626930237, 'ngs-recall': 0.9492118954658508, 'bla-precision': 0.9099525809288025, 'lyt-precision': 0.9623016119003296, 'ngb-precision': 0.8399999737739563, 'ngs-precision': 0.9442508816719055} 
{'loss': 0.20424607396125793, 'total-trian_loss': 0.20424607396125793, 'total-train-accuracy': 0.9307597875595093, 'bla-recall': 0.8974359035491943, 'lyt-recall': 0.9572953581809998, 'ngb-recall': 0.795918345451355, 'ngs-recall': 0.949999988079071, 'bla-precision': 0.9130434989929199, 'lyt-precision': 0.9624329209327698, 'ngb-precision': 0.8297872543334961, 'ngs-precision': 0.9411764740943909} 
