{'loss': 0.32755908370018005, 'total-trian_loss': 0.32755908370018005, 'total-train-accuracy': 0.84375, 'bla-recall': 0.8333333134651184, 'lyt-recall': 0.875, 'ngb-recall': 0.5, 'ngs-recall': 1.0, 'bla-precision': 0.8333333134651184, 'lyt-precision': 0.875, 'ngb-precision': 1.0, 'ngs-precision': 0.800000011920929} 
{'loss': 0.430467814207077, 'total-trian_loss': 0.430467814207077, 'total-train-accuracy': 0.8333333134651184, 'bla-recall': 0.8235294222831726, 'lyt-recall': 0.9344262480735779, 'ngb-recall': 0.4642857015132904, 'ngs-recall': 0.8840579986572266, 'bla-precision': 0.9032257795333862, 'lyt-precision': 0.9193548560142517, 'ngb-precision': 0.6190476417541504, 'ngs-precision': 0.8133333325386047} 
{'loss': 0.3632180988788605, 'total-trian_loss': 0.3632180988788605, 'total-train-accuracy': 0.8607954382896423, 'bla-recall': 0.8571428656578064, 'lyt-recall': 0.9230769276618958, 'ngb-recall': 0.5744680762290955, 'ngs-recall': 0.8913043737411499, 'bla-precision': 0.9152542352676392, 'lyt-precision': 0.9411764740943909, 'ngb-precision': 0.6279069781303406, 'ngs-precision': 0.8723404407501221} 
{'loss': 0.3342922329902649, 'total-trian_loss': 0.3342922329902649, 'total-train-accuracy': 0.8828125, 'bla-recall': 0.875, 'lyt-recall': 0.9294871687889099, 'ngb-recall': 0.5970149040222168, 'ngs-recall': 0.9054726362228394, 'bla-precision': 0.9390243887901306, 'lyt-precision': 0.9539473652839661, 'ngb-precision': 0.6896551847457886, 'ngs-precision': 0.9009901285171509} 
{'loss': 0.3451761305332184, 'total-trian_loss': 0.3451761305332184, 'total-train-accuracy': 0.882440447807312, 'bla-recall': 0.8899082541465759, 'lyt-recall': 0.9278846383094788, 'ngb-recall': 0.584269642829895, 'ngs-recall': 0.9060150384902954, 'bla-precision': 0.932692289352417, 'lyt-precision': 0.9601989984512329, 'ngb-precision': 0.7027027010917664, 'ngs-precision': 0.8959107995033264} 
{'loss': 0.3518950343132019, 'total-trian_loss': 0.3518950343132019, 'total-train-accuracy': 0.8774038553237915, 'bla-recall': 0.8623188138008118, 'lyt-recall': 0.9140625, 'ngb-recall': 0.5625, 'ngs-recall': 0.9141104221343994, 'bla-precision': 0.9296875, 'lyt-precision': 0.9473684430122375, 'ngb-precision': 0.7159090638160706, 'ngs-precision': 0.8895522356033325} 
{'loss': 0.3518168330192566, 'total-trian_loss': 0.3518168330192566, 'total-train-accuracy': 0.8719757795333862, 'bla-recall': 0.8703703880310059, 'lyt-recall': 0.914826512336731, 'ngb-recall': 0.5390070676803589, 'ngs-recall': 0.9059139490127563, 'bla-precision': 0.9215686321258545, 'lyt-precision': 0.9539473652839661, 'ngb-precision': 0.7102803587913513, 'ngs-precision': 0.8685566782951355} 
{'loss': 0.3508913218975067, 'total-trian_loss': 0.3508913218975067, 'total-train-accuracy': 0.8697916865348816, 'bla-recall': 0.8633880019187927, 'lyt-recall': 0.9117646813392639, 'ngb-recall': 0.5625, 'ngs-recall': 0.8919540047645569, 'bla-precision': 0.913294792175293, 'lyt-precision': 0.9498607516288757, 'ngb-precision': 0.703125, 'ngs-precision': 0.8758465051651001} 
{'loss': 0.35618025064468384, 'total-trian_loss': 0.35618025064468384, 'total-train-accuracy': 0.8666158318519592, 'bla-recall': 0.835616409778595, 'lyt-recall': 0.9075829386711121, 'ngb-recall': 0.5792349576950073, 'ngs-recall': 0.8872950673103333, 'bla-precision': 0.9014778137207031, 'lyt-precision': 0.9410319328308105, 'ngb-precision': 0.7019867300987244, 'ngs-precision': 0.8818737268447876} 
{'loss': 0.35531947016716003, 'total-trian_loss': 0.35531947016716003, 'total-train-accuracy': 0.866847813129425, 'bla-recall': 0.8401639461517334, 'lyt-recall': 0.9102296233177185, 'ngb-recall': 0.5763546824455261, 'ngs-recall': 0.8827838897705078, 'bla-precision': 0.9030836820602417, 'lyt-precision': 0.9457700848579407, 'ngb-precision': 0.680232584476471, 'ngs-precision': 0.8827838897705078} 
{'loss': 0.3527597188949585, 'total-trian_loss': 0.3527597188949585, 'total-train-accuracy': 0.8682597875595093, 'bla-recall': 0.8438661694526672, 'lyt-recall': 0.9136960506439209, 'ngb-recall': 0.5814977884292603, 'ngs-recall': 0.8855721354484558, 'bla-precision': 0.9007936716079712, 'lyt-precision': 0.9437984228134155, 'ngb-precision': 0.6910994648933411, 'ngs-precision': 0.8841059803962708} 
{'loss': 0.3442210853099823, 'total-trian_loss': 0.3442210853099823, 'total-train-accuracy': 0.8705357313156128, 'bla-recall': 0.8445945978164673, 'lyt-recall': 0.9175257682800293, 'ngb-recall': 0.5943775177001953, 'ngs-recall': 0.8857142925262451, 'bla-precision': 0.9025270938873291, 'lyt-precision': 0.9451327323913574, 'ngb-precision': 0.6915887594223022, 'ngs-precision': 0.8883861303329468} 
{'loss': 0.35537856817245483, 'total-trian_loss': 0.35537856817245483, 'total-train-accuracy': 0.8698770403862, 'bla-recall': 0.842900276184082, 'lyt-recall': 0.91190105676651, 'ngb-recall': 0.5900382995605469, 'ngs-recall': 0.8892005681991577, 'bla-precision': 0.9058441519737244, 'lyt-precision': 0.9424920082092285, 'ngb-precision': 0.6905829310417175, 'ngs-precision': 0.8830083608627319} 
{'loss': 0.3577013313770294, 'total-trian_loss': 0.3577013313770294, 'total-train-accuracy': 0.8678977489471436, 'bla-recall': 0.8398876190185547, 'lyt-recall': 0.910662829875946, 'ngb-recall': 0.5992907881736755, 'ngs-recall': 0.8833333253860474, 'bla-precision': 0.900602400302887, 'lyt-precision': 0.9404761791229248, 'ngb-precision': 0.6787148714065552, 'ngs-precision': 0.8856040835380554} 
{'loss': 0.3548378050327301, 'total-trian_loss': 0.3548378050327301, 'total-train-accuracy': 0.8697183132171631, 'bla-recall': 0.8419688940048218, 'lyt-recall': 0.909333348274231, 'ngb-recall': 0.6059602499008179, 'ngs-recall': 0.8848921060562134, 'bla-precision': 0.9002770185470581, 'lyt-precision': 0.9406896829605103, 'ngb-precision': 0.6853932738304138, 'ngs-precision': 0.8870192170143127} 
{'loss': 0.3572429120540619, 'total-trian_loss': 0.3572429120540619, 'total-train-accuracy': 0.8671875, 'bla-recall': 0.8421052694320679, 'lyt-recall': 0.9110275506973267, 'ngb-recall': 0.6073619723320007, 'ngs-recall': 0.8775280714035034, 'bla-precision': 0.9002557396888733, 'lyt-precision': 0.9380645155906677, 'ngb-precision': 0.6780821681022644, 'ngs-precision': 0.8864926099777222} 
{'loss': 0.362197607755661, 'total-trian_loss': 0.362197607755661, 'total-train-accuracy': 0.8665123581886292, 'bla-recall': 0.8443936109542847, 'lyt-recall': 0.9122182726860046, 'ngb-recall': 0.6118980050086975, 'ngs-recall': 0.8727841377258301, 'bla-precision': 0.8956310749053955, 'lyt-precision': 0.9378048777580261, 'ngb-precision': 0.6792452931404114, 'ngs-precision': 0.8885350227355957} 
{'loss': 0.3640808165073395, 'total-trian_loss': 0.3640808165073395, 'total-train-accuracy': 0.8655523061752319, 'bla-recall': 0.8308026194572449, 'lyt-recall': 0.9118303656578064, 'ngb-recall': 0.6096256971359253, 'ngs-recall': 0.8756121397018433, 'bla-precision': 0.8969554901123047, 'lyt-precision': 0.9358533620834351, 'ngb-precision': 0.6785714030265808, 'ngs-precision': 0.8877854943275452} 
{'loss': 0.3634566366672516, 'total-trian_loss': 0.3634566366672516, 'total-train-accuracy': 0.8664148449897766, 'bla-recall': 0.8264462947845459, 'lyt-recall': 0.9131355881690979, 'ngb-recall': 0.605597972869873, 'ngs-recall': 0.8799266815185547, 'bla-precision': 0.8948546051979065, 'lyt-precision': 0.9359391927719116, 'ngb-precision': 0.6819484233856201, 'ngs-precision': 0.8880665898323059} 
{'loss': 0.3573739230632782, 'total-trian_loss': 0.3573739230632782, 'total-train-accuracy': 0.8668619990348816, 'bla-recall': 0.8237623572349548, 'lyt-recall': 0.9141165018081665, 'ngb-recall': 0.6000000238418579, 'ngs-recall': 0.8802447319030762, 'bla-precision': 0.8907923102378845, 'lyt-precision': 0.9381965398788452, 'ngb-precision': 0.6776859760284424, 'ngs-precision': 0.8872246742248535} 
{'loss': 0.35465750098228455, 'total-trian_loss': 0.35465750098228455, 'total-train-accuracy': 0.8675742745399475, 'bla-recall': 0.8241965770721436, 'lyt-recall': 0.9163534045219421, 'ngb-recall': 0.6041666865348816, 'ngs-recall': 0.8773819208145142, 'bla-precision': 0.8934426307678223, 'lyt-precision': 0.9402121305465698, 'ngb-precision': 0.6779220700263977, 'ngs-precision': 0.8869346976280212} 
{'loss': 0.35627850890159607, 'total-trian_loss': 0.35627850890159607, 'total-train-accuracy': 0.8667452931404114, 'bla-recall': 0.8209764957427979, 'lyt-recall': 0.91756272315979, 'ngb-recall': 0.5991091132164001, 'ngs-recall': 0.8751962184906006, 'bla-precision': 0.8937007784843445, 'lyt-precision': 0.9377289414405823, 'ngb-precision': 0.6708229184150696, 'ngs-precision': 0.887738823890686} 
{'loss': 0.3572908341884613, 'total-trian_loss': 0.3572908341884613, 'total-train-accuracy': 0.8679617047309875, 'bla-recall': 0.8221070766448975, 'lyt-recall': 0.9186643958091736, 'ngb-recall': 0.5978723168373108, 'ngs-recall': 0.8771535754203796, 'bla-precision': 0.893058180809021, 'lyt-precision': 0.9363001585006714, 'ngb-precision': 0.6787439584732056, 'ngs-precision': 0.887793779373169} 
{'loss': 0.35388845205307007, 'total-trian_loss': 0.35388845205307007, 'total-train-accuracy': 0.8696120977401733, 'bla-recall': 0.8247078657150269, 'lyt-recall': 0.9174836874008179, 'ngb-recall': 0.5938144326210022, 'ngs-recall': 0.8817663788795471, 'bla-precision': 0.8965517282485962, 'lyt-precision': 0.9373956322669983, 'ngb-precision': 0.6808510422706604, 'ngs-precision': 0.8906474709510803} 
{'loss': 0.35730159282684326, 'total-trian_loss': 0.35730159282684326, 'total-train-accuracy': 0.8690599203109741, 'bla-recall': 0.8225806355476379, 'lyt-recall': 0.9184314012527466, 'ngb-recall': 0.5869565010070801, 'ngs-recall': 0.8837525248527527, 'bla-precision': 0.8978873491287231, 'lyt-precision': 0.9360511302947998, 'ngb-precision': 0.6796338558197021, 'ngs-precision': 0.8891928791999817} 
{'loss': 0.3620096445083618, 'total-trian_loss': 0.3620096445083618, 'total-train-accuracy': 0.8678075671195984, 'bla-recall': 0.8236196041107178, 'lyt-recall': 0.912162184715271, 'ngb-recall': 0.5946462750434875, 'ngs-recall': 0.8819671869277954, 'bla-precision': 0.8935108184814453, 'lyt-precision': 0.9353348612785339, 'ngb-precision': 0.673160195350647, 'ngs-precision': 0.8907284736633301} 
{'loss': 0.363277792930603, 'total-trian_loss': 0.363277792930603, 'total-train-accuracy': 0.8687977194786072, 'bla-recall': 0.8274336457252502, 'lyt-recall': 0.9115942120552063, 'ngb-recall': 0.6051660776138306, 'ngs-recall': 0.8800251483917236, 'bla-precision': 0.8904761672019958, 'lyt-precision': 0.9360119104385376, 'ngb-precision': 0.673511266708374, 'ngs-precision': 0.8940650820732117} 
{'loss': 0.36451444029808044, 'total-trian_loss': 0.36451444029808044, 'total-train-accuracy': 0.8674172759056091, 'bla-recall': 0.8276836276054382, 'lyt-recall': 0.9112508893013, 'ngb-recall': 0.6042780876159668, 'ngs-recall': 0.8771186470985413, 'bla-precision': 0.8878787755966187, 'lyt-precision': 0.9347670078277588, 'ngb-precision': 0.6699604988098145, 'ngs-precision': 0.8949969410896301} 
{'loss': 0.36200058460235596, 'total-trian_loss': 0.36200058460235596, 'total-train-accuracy': 0.8672429323196411, 'bla-recall': 0.8288043737411499, 'lyt-recall': 0.9138627052307129, 'ngb-recall': 0.5979381203651428, 'ngs-recall': 0.8770492076873779, 'bla-precision': 0.8918128609657288, 'lyt-precision': 0.9333333373069763, 'ngb-precision': 0.6705202460289001, 'ngs-precision': 0.8927294611930847} 
{'loss': 0.35884928703308105, 'total-trian_loss': 0.35884928703308105, 'total-train-accuracy': 0.8687928318977356, 'bla-recall': 0.8276762366294861, 'lyt-recall': 0.9157413244247437, 'ngb-recall': 0.5993322134017944, 'ngs-recall': 0.8789414167404175, 'bla-precision': 0.895480215549469, 'lyt-precision': 0.9315614700317383, 'ngb-precision': 0.6748120188713074, 'ngs-precision': 0.8945558667182922} 
